city,state_id,state_name,lat,lng,zips
Arecibo,PR,Puerto Rico,18.4491,-66.7387,00612 00613 00614
Lewisville,TX,Texas,33.0454,-96.9815,75067 75065 75056 75057 75077 75029
Pearland,TX,Texas,29.5581,-95.3218,77047 77089 77584 77581 77588
Lehigh Acres,FL,Florida,26.6120,-81.6388,33936 33973 33972 33971 33976 33974 33970
Kenosha,WI,Wisconsin,42.5865,-87.8773,53144 53140 53142 53143 53141
Seaside,CA,California,36.6224,-121.8199,93955
Burlington,VT,Vermont,44.4876,-73.2316,05405 05401 05408 05406
Arvada,CO,Colorado,39.8320,-105.1510,80005 80004 80007 80003 80002 80403 80001 80006
Waldorf,MD,Maryland,38.6085,-76.9194,20601 20603 20602 20675 20695 20604
Independence,MO,Missouri,39.0871,-94.3501,64054 64055 64056 64057 64050 64052 64053 64015 64016 64051
Rochester,MN,Minnesota,44.0154,-92.4780,55902 55903 55901 55906 55904 55905
Logan,UT,Utah,41.7399,-111.8422,84321 84322 84341
Harlingen,TX,Texas,26.1916,-97.6977,78550 78552 78551 78553
Berkeley,CA,California,37.8722,-122.2760,94708 94707 94705 94704 94703 94702 94709 94710 94720 94701 94712
Clovis,CA,California,36.8278,-119.6830,93611 93612 93619 93613 93747
Round Rock,TX,Texas,30.5270,-97.6642,78681 78664 78665 78682 78683
Pueblo,CO,Colorado,38.2701,-104.6114,81004 81005 81003 81001 81008 81002 81010 81011 81012
Temple,TX,Texas,31.1068,-97.3891,76501 76502 76504 76508 76533
Meridian,ID,Idaho,43.6116,-116.3977,83646 83642 83680
Duluth,MN,Minnesota,46.7756,-92.1393,55803 55802 55807 55806 55805 55804 55808 55810 55811 55812 55815 55816
The Woodlands,TX,Texas,30.1738,-95.5134,77381 77384 77380 77382 77389 77393
Boulder,CO,Colorado,40.0248,-105.2524,80310 80304 80305 80302 80303 80301 80307 80309 80314
Richardson,TX,Texas,32.9716,-96.7093,75081 75080 75082 75045 75083 75085
Cambridge,MA,Massachusetts,42.3759,-71.1185,02142 02140 02141 02139 02138 02238 02477
West Palm Beach,FL,Florida,26.7469,-80.1320,33411 33412 33417 33409 33407 33405 33401 33402 33422
Port Arthur,TX,Texas,29.8554,-93.9264,77655 77640 77642 77641 77643
East Los Angeles,CA,California,34.0326,-118.1691,90063 90022 90023
Redding,CA,California,40.5698,-122.3650,96002 96003 96001
Clearwater,FL,Florida,27.9790,-82.7623,33759 33755 33756 33763 33761 33767 33764 33765 33757 33758 33766 33769
Monroe,LA,Louisiana,32.5185,-92.0774,71212 71209 71203 71202 71201 71207 71210 71213 71217
Utica,NY,New York,43.0962,-75.2261,13501 13502 13503 13504 13505 13599
St. Cloud,MN,Minnesota,45.5340,-94.1718,56304 56301 56303 56302 56372 56393 56395 56396
Mandeville,LA,Louisiana,30.3751,-90.0904,70448 70471 70470
West Jordan,UT,Utah,40.6024,-112.0008,84088 84081 84084
North Charleston,SC,South Carolina,32.9067,-80.0722,29420 29456 29485 29404 29405 29406 29418 29416 29419 29423
Richmond,CA,California,37.9477,-122.3389,94530 94801 94803 94804 94805 94806 94802 94807 94808 94850
Westminster,CO,Colorado,39.8837,-105.0624,80030 80031 80234 80005 80003 80021 80020 80035
Saginaw,MI,Michigan,43.4199,-83.9501,48602 48607 48601 48606 48663
Kailua,HI,Hawaii,21.3920,-157.7396,96734
Brandon,FL,Florida,27.9367,-82.3000,33510 33594 33619 33511 33584 33508 33509 33595
Ponce,PR,Puerto Rico,18.0127,-66.6212,00728 00717 00716 00730 00732 00733 00734
Carlsbad,CA,California,33.1246,-117.2834,92008 92009 92011 92010 92013 92018
Lowell,MA,Massachusetts,42.6389,-71.3217,01851 01850 01852 01854 01853
Broken Arrow,OK,Oklahoma,36.0380,-95.7806,74014 74011 74012 74013
Elgin,IL,Illinois,42.0383,-88.3240,60120 60123 60124 60121 60122
Gresham,OR,Oregon,45.5021,-122.4413,97030 97233 97230 97080
League City,TX,Texas,29.4874,-95.1087,77573 77598 77511 77539 77565 77574 77592
Downey,CA,California,33.9379,-118.1311,90242 90240 90241 90239
Waterloo,IA,Iowa,42.4918,-92.3522,50707 50703 50702 50701
Murrieta,CA,California,33.5719,-117.1909,92563 92562
Leominster,MA,Massachusetts,42.5209,-71.7717,1453
Longview,TX,Texas,32.5193,-94.7622,75602 75601 75605 75604 75606 75608 75615 75660
Jacksonville,NC,North Carolina,34.7289,-77.3941,28546 28547 28544 28542 28540 28543 28541 28545
Pompano Beach,FL,Florida,26.2428,-80.1312,33060 33062 33064 33069 33061 33074 33097
Bend,OR,Oregon,44.0563,-121.3095,97702 97703 97701 97708
Miami Gardens,FL,Florida,25.9433,-80.2426,33014 33169 33055 33056 33054 33269
Costa Mesa,CA,California,33.6667,-117.9135,92626 92627 92628
Sioux City,IA,Iowa,42.4959,-96.3901,51106 51104 51105 51103 51101 51108 51109 51111
Everett,WA,Washington,47.9525,-122.1669,98207 98204 98203 98201 98208 98206 98213
Gilroy,CA,California,37.0046,-121.5854,95020
San Buenaventura,CA,California,34.2741,-119.2314,93004 93001 93003 93002 93005 93006 93007 93009
Temecula,CA,California,33.4928,-117.1315,92590 92591 92592 92589 92593
Sugar Land,TX,Texas,29.5935,-95.6358,77498 77478 77479 77487 77496
Chico,CA,California,39.7578,-121.8161,95973 95926 95928 95929 95927 95976
Eau Claire,WI,Wisconsin,44.8197,-91.4948,54703 54701 54702
El Monte,CA,California,34.0739,-118.0291,91731 91733 91732 91734 91735
Idaho Falls,ID,Idaho,43.4871,-112.0362,83401 83402 83404 83415
Dearborn,MI,Michigan,42.3127,-83.2130,48128 48120 48126 48124 48121 48123
Bloomington,IN,Indiana,39.1637,-86.5257,47405 47408 47401 47403 47404 47406 47407
West Covina,CA,California,34.0555,-117.9113,91792 91791 91790 91793
Sparks,NV,Nevada,39.5736,-119.7161,89436 89434 89431 89432 89435
South Fulton,GA,Georgia,33.6273,-84.5800,30336 30331 30272 30349 30291 30296 30213 30378 31131 31136
Centennial,CO,Colorado,39.5926,-104.8673,80122 80121 80016 80015 80112 80111 80155 80161
Sandy Springs,GA,Georgia,33.9366,-84.3703,30350 30327 30328 30342 30358 31150 31156
Inglewood,CA,California,33.9566,-118.3444,90305 90304 90303 90302 90301 90306 90307 90308 90309 90311 90312
Hillsboro,OR,Oregon,45.5273,-122.9360,97006 97123 97124 97129
Columbia,MD,Maryland,39.2004,-76.8590,21044 21045 21046 21029 20588 21150
Burbank,CA,California,34.1879,-118.3235,91506 91504 91505 91502 91501 91503 91507 91508 91510 91521 91522 91523
Davie,FL,Florida,26.0789,-80.2870,33324 33325 33331 33330 33328 33314 33355
El Cajon,CA,California,32.8017,-116.9604,92020 92021 92019
Jurupa Valley,CA,California,34.0010,-117.4706,92509 91752 92519
Allen,TX,Texas,33.1088,-96.6735,75002 75013
Auburn,AL,Alabama,32.6087,-85.4903,36849 36832 36830 36831
Renton,WA,Washington,47.4784,-122.1918,98059 98058 98057 98056 98055
Holland,MI,Michigan,42.7677,-86.0984,49423 49422
Brockton,MA,Massachusetts,42.0821,-71.0242,02301 02302 02303 02304 02305
Rio Rancho,NM,New Mexico,35.2873,-106.6982,87121 87124 87144 87174
San Mateo,CA,California,37.5522,-122.3121,94404 94401 94402 94403 94497
Rialto,CA,California,34.1175,-117.3892,92316 92376 92377
Spokane Valley,WA,Washington,47.6626,-117.2346,99206 99016 99212 99216 99037 99211 99213 99215
Charlottesville,VA,Virginia,38.0375,-78.4855,22908 22901 22902 22903 22904 22905 22906 22909
Menifee,CA,California,33.6909,-117.1849,92587 92586 92585 92584 92564
Daly City,CA,California,37.6862,-122.4685,94015 94014 94016 94017
Wichita Falls,TX,Texas,33.9072,-98.5291,76309 76308 76310 76311 76306 76305 76302 76301 76307
Riverview,FL,Florida,27.8227,-82.3023,33579 33578 33569 33568
Norwalk,CA,California,33.9069,-118.0829,90650 90651 90652
Lee's Summit,MO,Missouri,38.9171,-94.3816,64086 64082 64064 64063 64081 64002
Longmont,CO,Colorado,40.1686,-105.1005,80501 80503 80504
Vacaville,CA,California,38.3587,-121.9673,95687 95688
Highlands Ranch,CO,Colorado,39.5419,-104.9708,80129 80126 80130 80163
Kingsport,TN,Tennessee,36.5224,-82.5454,37665 37664 37663 37660 37662 37669
San Tan Valley,AZ,Arizona,33.1786,-111.5629,85143 85142 85140 85144
Quincy,MA,Massachusetts,42.2506,-71.0187,02169 02171 02170 02269
Edinburg,TX,Texas,26.3196,-98.1597,78539 78542 78541
Lynn,MA,Massachusetts,42.4781,-70.9664,01905 01904 01902 01901 01903 01910
San Angelo,TX,Texas,31.4424,-100.4504,76905 76904 76901 76903 76909 76908 76886 76906
Hesperia,CA,California,34.3975,-117.3147,92345 92344 92340
Bowling Green,KY,Kentucky,36.9716,-86.4378,42104 42103 42101 42102
Federal Way,WA,Washington,47.3091,-122.3358,98023 98003 98063 98093
